epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.593988,1.61479,4.69209,0.94041,0,0,0,0,1.32094,4.35796,0.89073,2e-05,2e-05,2e-05
2,1.31732,1.91675,4.56813,0.99841,0,0,0,0,1.30214,4.35304,0.89088,4.835e-05,4.835e-05,4.835e-05
3,1.93753,1.9479,4.53388,1.01438,0,0,0,0,1.22953,4.35083,0.88957,7.472e-05,7.472e-05,7.472e-05
4,2.52245,1.4401,4.46694,0.98902,0,0,0,0,1.15722,4.33825,0.88363,9.911e-05,9.911e-05,9.911e-05
5,3.07138,1.58331,4.42332,1.00096,0,0,0,0,1.15722,4.33825,0.88363,0.00012152,0.00012152,0.00012152
6,3.66407,1.7846,4.4047,0.99255,0,0,0,0,1.14498,4.32753,0.87183,0.00014195,0.00014195,0.00014195
7,4.20707,1.40747,4.38804,0.91939,0,0,0,0,1.14498,4.32753,0.87183,0.0001604,0.0001604,0.0001604
8,4.77326,1.85118,4.42724,1.00607,0,0,0,0,1.14498,4.32753,0.87183,0.00017687,0.00017687,0.00017687
9,5.34889,1.5986,4.27702,0.96721,0.00227,0.02083,0.00226,0.00045,1.22293,4.30158,0.86288,0.00019136,0.00019136,0.00019136
10,5.90504,1.64301,4.35011,1.00698,0.00227,0.02083,0.00226,0.00045,1.22293,4.30158,0.86288,0.00020387,0.00020387,0.00020387
11,6.4842,1.49476,4.25808,0.95062,0.00227,0.02083,0.00226,0.00045,1.22293,4.30158,0.86288,0.0002144,0.0002144,0.0002144
12,7.05504,1.5752,4.26994,0.95026,0.00227,0.02083,0.00226,0.00045,1.22293,4.30158,0.86288,0.00022295,0.00022295,0.00022295
13,7.63537,1.59877,4.12703,0.86902,0.00233,0.02083,0.00171,0.00068,1.35903,4.25549,0.86343,0.00022952,0.00022952,0.00022952
14,8.19218,1.65897,4.1498,0.93347,0.00233,0.02083,0.00171,0.00068,1.35903,4.25549,0.86343,0.00023411,0.00023411,0.00023411
15,8.73726,1.69121,4.12493,0.95435,0.00233,0.02083,0.00171,0.00068,1.35903,4.25549,0.86343,0.00023672,0.00023672,0.00023672
16,9.29312,1.7721,4.16951,0.895,0.00233,0.02083,0.00171,0.00068,1.35903,4.25549,0.86343,0.00023735,0.00023735,0.00023735
17,9.84893,1.63518,4.12896,0.94731,0.00233,0.02083,0.00171,0.00068,1.35903,4.25549,0.86343,0.000236,0.000236,0.000236
18,10.4413,1.58056,4.11729,0.94863,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00023267,0.00023267,0.00023267
19,11.0274,1.66731,3.96019,0.90128,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00022736,0.00022736,0.00022736
20,11.6223,1.58072,3.87696,0.88962,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00022007,0.00022007,0.00022007
21,12.2589,1.75782,3.82217,0.87189,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.0002108,0.0002108,0.0002108
22,12.8787,1.47369,3.88476,0.83293,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00019955,0.00019955,0.00019955
23,13.6203,1.48666,3.85476,0.84042,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00018632,0.00018632,0.00018632
24,14.2668,1.66748,3.79562,0.89804,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00017111,0.00017111,0.00017111
25,14.9276,1.43,3.79579,0.89156,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00015392,0.00015392,0.00015392
26,15.5753,1.94751,3.94004,0.88988,0.00444,0.04167,0.0025,0.002,1.42603,4.18418,0.8641,0.00013475,0.00013475,0.00013475
27,16.1883,1.52292,3.78163,0.88565,0.00808,0.08333,0.01046,0.00681,1.33081,3.98173,0.8317,0.0001136,0.0001136,0.0001136
28,16.8248,1.47864,3.75177,0.83641,0.00808,0.08333,0.01046,0.00681,1.33081,3.98173,0.8317,9.047e-05,9.047e-05,9.047e-05
29,17.44,1.51,3.73755,0.86541,0.00808,0.08333,0.01046,0.00681,1.33081,3.98173,0.8317,6.536e-05,6.536e-05,6.536e-05
30,18.0308,1.52617,3.73612,0.85132,0.00808,0.08333,0.01046,0.00681,1.33081,3.98173,0.8317,3.827e-05,3.827e-05,3.827e-05
