epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.661749,1.72196,4.46103,1.08722,0,0,0,0,1.47325,4.35394,0.92714,2e-05,2e-05,2e-05
2,1.43739,1.57097,4.51506,1.04875,0,0,0,0,1.4169,4.34838,0.92107,4.835e-05,4.835e-05,4.835e-05
3,2.12363,1.82596,4.48143,1.03668,0,0,0,0,1.3022,4.33218,0.90778,7.472e-05,7.472e-05,7.472e-05
4,2.75952,1.6209,4.44782,1.02965,0,0,0,0,1.15338,4.31638,0.88576,9.911e-05,9.911e-05,9.911e-05
5,3.37767,1.42786,4.4359,0.93019,0,0,0,0,1.15338,4.31638,0.88576,0.00012152,0.00012152,0.00012152
6,4.04209,1.60995,4.44288,0.99358,0.00202,0.01587,0.00597,0.00179,1.10544,4.27758,0.86945,0.00014195,0.00014195,0.00014195
7,4.63934,1.4815,4.36553,0.90488,0.00202,0.01587,0.00597,0.00179,1.10544,4.27758,0.86945,0.0001604,0.0001604,0.0001604
8,5.26112,1.40762,4.34172,0.95766,0.00202,0.01587,0.00597,0.00179,1.10544,4.27758,0.86945,0.00017687,0.00017687,0.00017687
9,5.9063,1.34127,4.10158,0.94961,0,0,0,0,1.17135,4.23781,0.86462,0.00019136,0.00019136,0.00019136
10,6.51556,1.60236,4.17363,0.9592,0,0,0,0,1.17135,4.23781,0.86462,0.00020387,0.00020387,0.00020387
11,7.13146,1.56523,4.14029,0.92911,0,0,0,0,1.17135,4.23781,0.86462,0.0002144,0.0002144,0.0002144
12,7.76721,1.50564,4.09107,0.95179,0,0,0,0,1.17135,4.23781,0.86462,0.00022295,0.00022295,0.00022295
13,8.41458,1.37615,3.98062,0.94904,0,0,0,0,1.23634,4.17287,0.87013,0.00022952,0.00022952,0.00022952
14,9.00939,1.52424,4.0315,0.91211,0,0,0,0,1.23634,4.17287,0.87013,0.00023411,0.00023411,0.00023411
15,9.62008,1.52711,3.99968,0.91613,0,0,0,0,1.23634,4.17287,0.87013,0.00023672,0.00023672,0.00023672
16,10.2423,1.58025,3.90259,0.9513,0,0,0,0,1.23634,4.17287,0.87013,0.00023735,0.00023735,0.00023735
17,10.8719,1.52995,3.86112,1.01025,0,0,0,0,1.23634,4.17287,0.87013,0.000236,0.000236,0.000236
18,11.5321,1.68927,4.13239,0.95212,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00023267,0.00023267,0.00023267
19,12.1756,1.41716,3.7831,0.91428,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00022736,0.00022736,0.00022736
20,12.7966,1.52809,3.84937,0.91771,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00022007,0.00022007,0.00022007
21,13.4098,1.38519,3.61781,0.89289,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.0002108,0.0002108,0.0002108
22,14.1168,1.64262,3.67574,0.87856,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00019955,0.00019955,0.00019955
23,14.7319,1.51496,3.68314,0.84712,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00018632,0.00018632,0.00018632
24,15.3711,1.38391,3.61779,0.87361,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00017111,0.00017111,0.00017111
25,16.0133,1.48584,3.69392,0.83705,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00015392,0.00015392,0.00015392
26,16.6208,1.46068,3.57037,0.89763,0.02625,0.15873,0.01937,0.01416,1.18761,4.07501,0.86849,0.00013475,0.00013475,0.00013475
27,17.2801,1.74347,3.6063,0.88238,0.03382,0.22222,0.10115,0.07875,1.18626,3.92027,0.8625,0.0001136,0.0001136,0.0001136
28,17.898,1.27685,3.5463,0.84587,0.03382,0.22222,0.10115,0.07875,1.18626,3.92027,0.8625,9.047e-05,9.047e-05,9.047e-05
29,18.5313,1.37779,3.65815,0.86678,0.03382,0.22222,0.10115,0.07875,1.18626,3.92027,0.8625,6.536e-05,6.536e-05,6.536e-05
30,19.2035,1.30742,3.50653,0.89507,0.03382,0.22222,0.10115,0.07875,1.18626,3.92027,0.8625,3.827e-05,3.827e-05,3.827e-05
