epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.860579,1.49392,4.63332,0.95423,0,0,0,0,0.97736,4.40146,0.82769,2e-05,2e-05,2e-05
2,1.63246,1.30119,4.9805,0.89257,0,0,0,0,0.92526,4.39881,0.82149,4.835e-05,4.835e-05,4.835e-05
3,2.47124,1.07063,4.91417,0.84452,0,0,0,0,0.84903,4.39804,0.81274,7.472e-05,7.472e-05,7.472e-05
4,3.36039,1.17089,4.57635,0.86112,0,0,0,0,0.74607,4.37832,0.80544,9.911e-05,9.911e-05,9.911e-05
5,4.06201,0.83128,4.50298,0.97781,0,0,0,0,0.74607,4.37832,0.80544,0.00012152,0.00012152,0.00012152
6,4.78702,1.08368,4.70438,0.88836,0,0,0,0,0.69338,4.38685,0.80439,0.00014195,0.00014195,0.00014195
7,5.47942,1.08923,4.60794,0.90126,0,0,0,0,0.69338,4.38685,0.80439,0.0001604,0.0001604,0.0001604
8,6.17732,1.12678,4.55266,0.87876,0,0,0,0,0.69338,4.38685,0.80439,0.00017687,0.00017687,0.00017687
9,6.89378,0.91603,4.31285,0.88722,0,0,0,0,0.89513,4.37939,0.81721,0.00019136,0.00019136,0.00019136
10,7.6457,1.39754,4.25118,0.88409,0,0,0,0,0.89513,4.37939,0.81721,0.00020387,0.00020387,0.00020387
11,8.34526,1.23581,4.34862,0.87631,0,0,0,0,0.89513,4.37939,0.81721,0.0002144,0.0002144,0.0002144
12,9.09689,1.1422,4.26022,0.90779,0,0,0,0,0.89513,4.37939,0.81721,0.00022295,0.00022295,0.00022295
13,9.80914,1.69912,4.26776,0.82976,0,0,0,0,1.08419,4.37109,0.83448,0.00022952,0.00022952,0.00022952
14,10.4893,1.30171,4.13065,0.87839,0,0,0,0,1.08419,4.37109,0.83448,0.00023411,0.00023411,0.00023411
15,11.3536,1.49428,4.29474,0.87678,0,0,0,0,1.08419,4.37109,0.83448,0.00023672,0.00023672,0.00023672
16,12.1092,1.40544,4.32636,0.88602,0,0,0,0,1.08419,4.37109,0.83448,0.00023735,0.00023735,0.00023735
17,12.8512,1.6177,4.23663,0.87474,0,0,0,0,1.08419,4.37109,0.83448,0.000236,0.000236,0.000236
18,13.6343,1.32151,4.17201,0.91152,0,0,0,0,1.09456,4.50618,0.85851,0.00023267,0.00023267,0.00023267
19,14.3747,1.17144,3.75605,0.85002,0,0,0,0,1.09456,4.50618,0.85851,0.00022736,0.00022736,0.00022736
20,15.0522,1.61745,4.07042,0.80553,0,0,0,0,1.09456,4.50618,0.85851,0.00022007,0.00022007,0.00022007
21,15.7741,1.31625,4.14094,0.84946,0,0,0,0,1.09456,4.50618,0.85851,0.0002108,0.0002108,0.0002108
22,16.6405,1.08076,3.69858,0.83968,0,0,0,0,1.09456,4.50618,0.85851,0.00019955,0.00019955,0.00019955
23,17.5284,1.13602,3.72119,0.85858,0,0,0,0,1.09456,4.50618,0.85851,0.00018632,0.00018632,0.00018632
24,18.4751,1.0425,3.92359,0.80892,0,0,0,0,1.09456,4.50618,0.85851,0.00017111,0.00017111,0.00017111
25,19.201,1.11893,3.64111,0.82368,0,0,0,0,1.09456,4.50618,0.85851,0.00015392,0.00015392,0.00015392
26,19.9084,1.18229,4.05636,0.81397,0,0,0,0,1.09456,4.50618,0.85851,0.00013475,0.00013475,0.00013475
27,20.7121,1.30694,4.08851,0.84102,0.01948,0.5,0.01964,0.01615,1.04087,4.2079,0.8459,0.0001136,0.0001136,0.0001136
28,21.5272,1.35592,3.62969,0.85535,0.01948,0.5,0.01964,0.01615,1.04087,4.2079,0.8459,9.047e-05,9.047e-05,9.047e-05
29,22.2632,1.0103,3.46974,0.83144,0.01948,0.5,0.01964,0.01615,1.04087,4.2079,0.8459,6.536e-05,6.536e-05,6.536e-05
30,22.9896,1.31011,4.19125,0.80407,0.01948,0.5,0.01964,0.01615,1.04087,4.2079,0.8459,3.827e-05,3.827e-05,3.827e-05
